Title,Description,Date/Time,Views,Comments,Image URL
Забайкалье заняло третье место в ДФО по приросту мигрантов на 10 тысяч населения. Что это значит для экономики?,"Вероятно, региональные власти перекрывают естественную и миграционную убыль коренного населения","20 июня, 2025, 19:33",19,0,https://n1s1.hsmedia.ru/c6/4f/f3/c64ff3f28667941c220f4d0f961c89c5/1152x769_0x9kXzoYfW_0754965271806667386.jpg
Отказывается стареть: 62-летняя блогерша хвастается в соцсетях роликами в одном белье и 28-летним мужем,Непростая история жизни Елены Санжаровской — в коротком видео,"20 июня, 2025, 19:30",33,0,https://n1s1.hsmedia.ru/5c/0c/44/5c0c4427c41cdfe49f1b41f1db7a49c6/720x480_0xxkFYxpiM_1534630406024582349.jpg
Глава «Сбера» назвал справедливым курс выше 100 рублей за доллар — что это значит и ждать ли повышения,"Узнали у экономистов, ослабится ли национальная валюта","20 июня, 2025, 19:30",25,0,https://n1s1.hsmedia.ru/7f/9c/fd/7f9cfd4b3e360d964fc4ddb6fc82f277/1608x1073_0xt5vLo7hK_8392770727553437218.jpg
"На границу РФ приедут корейские военные, а Трамп стал избегать общения с Зеленским: главное об СВО за неделю",Собрали ключевые решения и события в одном материале,"20 июня, 2025, 19:18",111,1,https://n1s1.hsmedia.ru/50/3a/3e/503a3ef22e832ccbad5eacce00e17986/1917x1280_0x8S4DkI3G_6024094062614046940.jpg
"«Чем больше народу, тем выше цены». Турист показал обстановку на пляжах Адлера: фото","Рассказываем, что с ценами и погодой на Черном море","20 июня, 2025, 19:15",96,0,https://n1s1.hsmedia.ru/37/4d/d9/374dd9467c2126f72b7a0cf4dc9af5f3/1280x854_0xtJrtQGuM_1048885798802212978.jpg
Гурулев возмутился приговору Поповой: Главный виновный остался в стороне,Решение суда он не стал обсуждать,"20 июня, 2025, 19:04",585,1,https://n1s1.hsmedia.ru/50/8b/03/508b030233dbb52bdafe516f8693e8d7/1912x1277_0x8dce7nth_7530386243543562822.jpg
"Сапожников 10 лет живёт в муниципальном жилье. Заксобрание Забайкалья не стало отвечать, почему он до сих пор не съехал",Зампредседателя парламента не может позволить ипотеку?,"20 июня, 2025, 18:20",911,21,https://n1s1.hsmedia.ru/dd/c4/60/ddc460892fb45941cf684f65f54019cc/1920x1281_0x5Uhekbke_4069692898858847087.jpg
Новые возможности для будущих инженеров. В Чите возобновили прием на легендарную специальность,Есть 25 бюджетных мест,"20 июня, 2025, 18:20",342,0,https://n1s1.hsmedia.ru/d3/e8/bb/d3e8bb25fe32b6043d7d7294d33ae641/1280x854_0xCSelk5Lr_4832336011442445128.jpg
Похудела на 50 кг и зажгла в передаче у Малахова: история яркой певицы,"Татьяне Павленко нравятся лирические и озорные композиции, грусть — не для нее","20 июня, 2025, 18:00",377,0,https://n1s1.hsmedia.ru/82/b5/61/82b5618ffa6f2647e73b6b445196a032/799x534_0x8G1nFh1p_4051062291390508070.jpg
Свет в Чите пропал из-за порванной линии бригадой «Оборонэнерго»,Порыв остановил троллейбусы,"20 июня, 2025, 18:00",543,3,https://n1s1.hsmedia.ru/42/c4/5d/42c45d4d313ddd0c294059b733f99647/1999x1335_0xPNGAdk5j_3701851031329676710.jpg
